lifestyle_group_Sedentary_Lifestyle,lifestyle_group_Low_Active,lifestyle_group_Somewhat_Active,lifestyle_group_Highly_Active,sleep_group_No_Sleep_Data,sleep_group_Normal_Sleep,sleep_group_Over_Sleep,sleep_group_Poor_Sleep,calorie_group_Low_Burn,calorie_group_Medium_Burn,calorie_group_High_Burn,day_type_Weekday,day_type_Weekend
False,True,False,False,True,False,False,False,True,False,False,True,False
False,True,False,False,False,False,False,True,True,False,False,False,True
True,False,False,False,True,False,False,False,True,False,False,False,True
True,False,False,False,True,False,False,False,True,False,False,True,False
True,False,False,False,True,False,False,False,True,False,False,True,False
True,False,False,False,True,False,False,False,True,False,False,True,False
True,False,False,False,True,False,False,False,True,False,False,True,False
True,False,False,False,True,False,False,False,True,False,False,True,False
True,False,False,False,True,False,False,False,True,False,False,False,True
True,False,False,False,True,False,False,False,True,False,False,False,True
True,False,False,False,True,False,False,False,True,False,False,True,False
False,True,False,False,True,False,False,False,True,False,False,True,False
True,False,False,False,True,False,False,False,True,False,False,True,False
False,True,False,False,True,False,False,False,True,False,False,True,False
True,False,False,False,True,False,False,False,True,False,False,True,False
False,True,False,False,True,False,False,False,False,True,False,False,True
False,True,False,False,True,False,False,False,True,False,False,False,True
True,False,False,False,True,False,False,False,True,False,False,True,False
False,True,False,False,True,False,False,False,True,False,False,True,False
False,True,False,False,True,False,False,False,True,False,False,True,False
True,False,False,False,True,False,False,False,True,False,False,True,False
False,False,False,True,True,False,False,False,False,True,False,True,False
False,False,False,True,False,True,False,False,False,True,False,True,False
False,False,False,True,False,True,False,False,False,True,False,True,False
False,False,False,True,False,True,False,False,False,True,False,True,False
False,False,False,True,True,False,False,False,False,False,True,False,True
False,True,False,False,False,False,True,False,True,False,False,False,True
False,False,True,False,False,False,True,False,False,True,False,True,False
False,True,False,False,False,True,False,False,False,True,False,True,False
False,False,False,True,True,False,False,False,False,True,False,True,False
False,False,False,True,False,True,False,False,False,True,False,True,False
False,False,True,False,False,True,False,False,False,True,False,True,False
False,False,False,True,False,True,False,False,False,False,True,False,True
False,False,True,False,False,True,False,False,False,True,False,False,True
False,False,True,False,False,True,False,False,False,True,False,True,False
False,True,False,False,False,True,False,False,True,False,False,True,False
False,False,False,True,False,True,False,False,False,True,False,True,False
False,True,False,False,False,True,False,False,True,False,False,True,False
True,False,False,False,False,True,False,False,True,False,False,True,False
False,False,True,False,True,False,False,False,False,True,False,True,False
False,False,True,False,True,False,False,False,False,True,False,True,False
False,False,True,False,True,False,False,False,True,False,False,True,False
False,False,True,False,True,False,False,False,False,True,False,True,False
False,False,True,False,True,False,False,False,False,True,False,False,True
True,False,False,False,True,False,False,False,True,False,False,False,True
False,False,True,False,True,False,False,False,True,False,False,True,False
False,False,True,False,True,False,False,False,False,True,False,True,False
False,False,True,False,True,False,False,False,False,True,False,True,False
False,False,True,False,True,False,False,False,False,True,False,True,False
False,True,False,False,True,False,False,False,False,True,False,True,False
False,False,True,False,True,False,False,False,False,True,False,False,True
False,True,False,False,True,False,False,False,True,False,False,False,True
False,True,False,False,True,False,False,False,True,False,False,True,False
False,False,True,False,True,False,False,False,True,False,False,True,False
True,False,False,False,True,False,False,False,False,True,False,True,False
False,False,True,False,True,False,False,False,True,False,False,True,False
False,True,False,False,True,False,False,False,True,False,False,True,False
False,False,True,False,True,False,False,False,True,False,False,False,True
False,True,False,False,True,False,False,False,True,False,False,False,True
False,False,True,False,True,False,False,False,True,False,False,True,False
False,True,False,False,True,False,False,False,True,False,False,True,False
False,False,True,False,True,False,False,False,False,True,False,True,False
False,False,True,False,True,False,False,False,False,True,False,True,False
False,True,False,False,True,False,False,False,True,False,False,True,False
True,False,False,False,True,False,False,False,True,False,False,False,True
False,False,True,False,True,False,False,False,False,True,False,False,True
False,False,True,False,True,False,False,False,True,False,False,True,False
False,False,True,False,True,False,False,False,False,True,False,True,False
False,True,False,False,True,False,False,False,True,False,False,True,False
False,False,True,False,True,False,False,False,True,False,False,True,False
True,False,False,False,True,False,False,False,True,False,False,True,False
False,False,True,False,True,False,False,False,False,True,False,True,False
False,False,True,False,True,False,False,False,False,True,False,True,False
False,True,False,False,True,False,False,False,True,False,False,True,False
False,True,False,False,True,False,False,False,True,False,False,False,True
False,False,True,False,True,False,False,False,False,True,False,False,True
False,True,False,False,True,False,False,False,False,True,False,True,False
False,False,True,False,True,False,False,False,False,True,False,True,False
True,False,False,False,True,False,False,False,True,False,False,True,False
False,False,True,False,True,False,False,False,False,True,False,True,False
True,False,False,False,True,False,False,False,True,False,False,True,False
False,True,False,False,True,False,False,False,False,True,False,False,True
False,True,False,False,True,False,False,False,True,False,False,False,True
False,True,False,False,True,False,False,False,False,True,False,True,False
False,False,True,False,True,False,False,False,False,True,False,True,False
False,False,True,False,True,False,False,False,False,True,False,True,False
False,True,False,False,True,False,False,False,False,True,False,True,False
False,False,True,False,True,False,False,False,False,True,False,True,False
False,True,False,False,True,False,False,False,False,True,False,False,True
True,False,False,False,True,False,False,False,True,False,False,False,True
False,False,True,False,False,False,False,True,True,False,False,True,False
False,False,False,True,False,False,False,True,True,False,False,True,False
False,False,True,False,False,False,False,True,True,False,False,True,False
False,False,True,False,False,True,False,False,True,False,False,True,False
False,False,False,True,False,False,False,True,True,False,False,False,True
False,False,False,True,False,True,False,False,True,False,False,False,True
False,False,False,True,False,True,False,False,True,False,False,True,False
False,False,False,True,False,False,False,True,True,False,False,True,False
False,False,False,True,False,False,False,True,True,False,False,True,False
False,True,False,False,False,False,False,True,True,False,False,True,False
False,False,True,False,False,False,False,True,True,False,False,True,False
False,False,False,True,False,False,False,True,True,False,False,False,True
False,False,False,True,False,False,False,True,True,False,False,False,True
False,False,False,True,False,False,False,True,True,False,False,True,False
False,False,False,True,False,False,False,True,True,False,False,True,False
False,True,False,False,False,False,False,True,True,False,False,True,False
False,True,False,False,False,False,False,True,True,False,False,True,False
False,False,False,True,False,False,False,True,True,False,False,True,False
False,False,False,True,False,False,False,True,True,False,False,False,True
False,False,False,True,False,True,False,False,True,False,False,False,True
False,False,False,True,False,False,False,True,True,False,False,True,False
False,False,False,True,False,False,False,True,True,False,False,True,False
False,False,False,True,False,False,False,True,True,False,False,True,False
False,False,False,True,False,False,False,True,True,False,False,True,False
False,False,False,True,False,False,False,True,True,False,False,True,False
False,False,False,True,False,False,False,True,True,False,False,False,True
False,False,False,True,False,False,False,True,True,False,False,False,True
False,False,False,True,True,False,False,False,True,False,False,True,False
False,False,False,True,False,False,False,True,True,False,False,True,False
True,False,False,False,True,False,False,False,True,False,False,True,False
False,False,True,False,False,False,True,False,False,False,True,True,False
True,False,False,False,True,False,False,False,False,True,False,True,False
True,False,False,False,True,False,False,False,False,True,False,True,False
True,False,False,False,True,False,False,False,False,False,True,True,False
True,False,False,False,False,False,False,True,False,False,True,False,True
True,False,False,False,True,False,False,False,False,True,False,False,True
True,False,False,False,True,False,False,False,False,True,False,True,False
True,False,False,False,True,False,False,False,False,True,False,True,False
True,False,False,False,True,False,False,False,False,True,False,True,False
True,False,False,False,True,False,False,False,False,True,False,True,False
True,False,False,False,True,False,False,False,False,True,False,True,False
True,False,False,False,True,False,False,False,False,True,False,False,True
True,False,False,False,True,False,False,False,False,True,False,False,True
True,False,False,False,True,False,False,False,False,True,False,True,False
True,False,False,False,True,False,False,False,False,True,False,True,False
True,False,False,False,True,False,False,False,False,True,False,True,False
True,False,False,False,True,False,False,False,False,True,False,True,False
True,False,False,False,True,False,False,False,False,True,False,True,False
True,False,False,False,True,False,False,False,False,True,False,False,True
True,False,False,False,True,False,False,False,False,True,False,False,True
True,False,False,False,True,False,False,False,False,True,False,True,False
True,False,False,False,False,False,False,True,False,False,True,True,False
False,False,False,True,False,True,False,False,False,False,True,True,False
False,False,False,True,False,False,False,True,False,False,True,True,False
True,False,False,False,False,True,False,False,False,False,True,True,False
False,True,False,False,True,False,False,False,False,False,True,False,True
False,True,False,False,False,True,False,False,False,False,True,False,True
True,False,False,False,True,False,False,False,False,False,True,True,False
False,True,False,False,False,True,False,False,False,False,True,True,False
True,False,False,False,True,False,False,False,False,False,True,True,False
True,False,False,False,True,False,False,False,True,False,False,True,False
False,True,False,False,True,False,False,False,False,True,False,True,False
False,True,False,False,True,False,False,False,False,True,False,True,False
True,False,False,False,True,False,False,False,True,False,False,True,False
True,False,False,False,True,False,False,False,True,False,False,True,False
False,False,True,False,True,False,False,False,False,True,False,True,False
False,False,True,False,True,False,False,False,False,True,False,True,False
False,False,False,True,False,False,True,False,False,True,False,True,False
False,True,False,False,False,True,False,False,False,True,False,True,False
True,False,False,False,False,False,True,False,True,False,False,False,True
True,False,False,False,True,False,False,False,True,False,False,False,True
True,False,False,False,False,False,True,False,True,False,False,True,False
False,False,True,False,False,True,False,False,False,True,False,True,False
False,False,True,False,False,False,True,False,False,True,False,True,False
True,False,False,False,False,False,False,True,True,False,False,True,False
True,False,False,False,False,False,True,False,True,False,False,True,False
True,False,False,False,False,False,True,False,False,True,False,False,True
True,False,False,False,False,True,False,False,True,False,False,False,True
False,False,True,False,False,False,True,False,False,True,False,True,False
False,False,True,False,False,False,True,False,False,True,False,True,False
False,False,False,True,False,False,False,True,False,True,False,True,False
False,False,False,True,False,False,True,False,False,True,False,True,False
False,False,True,False,False,False,True,False,False,True,False,True,False
False,False,True,False,False,False,True,False,False,True,False,False,True
True,False,False,False,False,False,True,False,True,False,False,False,True
False,False,True,False,False,True,False,False,False,True,False,True,False
False,False,True,False,False,True,False,False,False,True,False,True,False
False,False,False,True,True,False,False,False,False,True,False,True,False
False,False,False,True,True,False,False,False,False,True,False,True,False
False,False,True,False,False,True,False,False,False,True,False,True,False
False,False,True,False,False,False,True,False,False,True,False,False,True
True,False,False,False,False,False,True,False,True,False,False,False,True
False,False,False,True,False,False,True,False,False,True,False,True,False
False,False,True,False,False,False,True,False,False,True,False,True,False
False,False,True,False,False,False,True,False,False,True,False,True,False
True,False,False,False,False,False,False,True,True,False,False,True,False
False,False,False,True,True,False,False,False,False,False,True,True,False
False,False,False,True,True,False,False,False,False,False,True,True,False
False,False,True,False,True,False,False,False,False,False,True,True,False
False,False,True,False,False,False,True,False,False,False,True,True,False
False,True,False,False,False,True,False,False,False,False,True,False,True
True,False,False,False,False,False,True,False,False,True,False,False,True
False,False,False,True,False,False,False,True,False,False,True,True,False
False,False,False,True,False,False,False,True,False,False,True,True,False
False,False,False,True,False,True,False,False,False,False,True,True,False
False,False,False,True,False,True,False,False,False,False,True,True,False
False,False,False,True,False,False,False,True,False,False,True,True,False
False,False,False,True,False,True,False,False,False,False,True,False,True
False,False,False,True,False,False,True,False,False,False,True,False,True
False,False,False,True,True,False,False,False,False,False,True,True,False
False,False,True,False,False,False,False,True,False,False,True,True,False
False,False,False,True,False,True,False,False,False,False,True,True,False
False,False,False,True,False,True,False,False,False,False,True,True,False
False,False,True,False,True,False,False,False,False,False,True,True,False
False,False,False,True,False,True,False,False,False,False,True,False,True
False,False,False,True,False,False,True,False,False,False,True,False,True
False,False,False,True,False,True,False,False,False,False,True,True,False
False,False,False,True,True,False,False,False,False,False,True,True,False
False,False,False,True,False,True,False,False,False,False,True,True,False
False,False,True,False,False,True,False,False,False,False,True,True,False
False,False,False,True,True,False,False,False,False,False,True,True,False
False,False,False,True,False,True,False,False,False,False,True,False,True
False,False,False,True,False,False,True,False,False,False,True,False,True
False,False,False,True,False,False,False,True,False,False,True,True,False
False,False,False,True,False,False,False,True,False,False,True,True,False
False,False,False,True,False,True,False,False,False,False,True,True,False
True,False,False,False,True,False,False,False,True,False,False,True,False
True,False,False,False,False,True,False,False,False,True,False,True,False
True,False,False,False,False,True,False,False,False,True,False,True,False
True,False,False,False,False,True,False,False,False,True,False,True,False
False,True,False,False,False,False,False,True,False,True,False,True,False
True,False,False,False,False,True,False,False,False,True,False,False,True
True,False,False,False,False,False,False,True,True,False,False,False,True
False,True,False,False,True,False,False,False,False,True,False,True,False
True,False,False,False,False,True,False,False,False,True,False,True,False
True,False,False,False,False,True,False,False,False,True,False,True,False
True,False,False,False,False,True,False,False,False,True,False,True,False
False,True,False,False,False,True,False,False,False,True,False,True,False
True,False,False,False,True,False,False,False,False,True,False,False,True
False,True,False,False,True,False,False,False,False,True,False,False,True
True,False,False,False,False,False,False,True,False,True,False,True,False
False,True,False,False,False,False,False,True,False,True,False,True,False
False,True,False,False,False,False,False,True,False,True,False,True,False
True,False,False,False,False,True,False,False,False,True,False,True,False
True,False,False,False,False,False,False,True,False,True,False,True,False
False,True,False,False,False,False,False,True,False,True,False,False,True
False,True,False,False,False,True,False,False,False,True,False,False,True
False,True,False,False,False,False,True,False,False,True,False,True,False
False,False,True,False,False,True,False,False,False,True,False,True,False
True,False,False,False,False,False,False,True,False,True,False,True,False
True,False,False,False,False,True,False,False,False,True,False,True,False
True,False,False,False,False,True,False,False,False,True,False,True,False
False,True,False,False,False,True,False,False,False,True,False,False,True
False,True,False,False,False,True,False,False,False,True,False,False,True
False,True,False,False,False,True,False,False,False,True,False,True,False
True,False,False,False,False,True,False,False,False,True,False,True,False
False,False,True,False,False,False,True,False,False,True,False,True,False
True,False,False,False,False,False,True,False,True,False,False,True,False
False,True,False,False,True,False,False,False,True,False,False,True,False
True,False,False,False,True,False,False,False,True,False,False,True,False
False,True,False,False,True,False,False,False,True,False,False,True,False
False,False,True,False,True,False,False,False,False,True,False,True,False
False,True,False,False,True,False,False,False,False,True,False,False,True
False,False,True,False,True,False,False,False,False,True,False,False,True
False,False,True,False,True,False,False,False,False,True,False,True,False
False,True,False,False,True,False,False,False,True,False,False,True,False
True,False,False,False,True,False,False,False,True,False,False,True,False
False,False,False,True,False,False,False,True,False,True,False,True,False
False,False,True,False,True,False,False,False,False,True,False,True,False
False,True,False,False,True,False,False,False,False,True,False,False,True
False,False,True,False,True,False,False,False,False,True,False,False,True
False,False,True,False,True,False,False,False,False,True,False,True,False
False,False,True,False,False,False,False,True,False,True,False,True,False
False,False,True,False,True,False,False,False,False,True,False,True,False
False,False,True,False,True,False,False,False,False,True,False,True,False
False,False,True,False,False,False,False,True,True,False,False,True,False
False,False,False,True,True,False,False,False,False,True,False,False,True
True,False,False,False,False,False,False,True,True,False,False,False,True
False,False,True,False,True,False,False,False,False,True,False,True,False
False,True,False,False,True,False,False,False,False,True,False,True,False
False,True,False,False,True,False,False,False,True,False,False,True,False
False,False,False,True,True,False,False,False,False,True,False,True,False
True,False,False,False,True,False,False,False,True,False,False,True,False
False,False,True,False,True,False,False,False,False,True,False,False,True
False,True,False,False,False,False,False,True,False,False,True,False,True
False,False,False,True,True,False,False,False,False,True,False,True,False
False,True,False,False,True,False,False,False,True,False,False,True,False
False,False,True,False,True,False,False,False,False,True,False,True,False
False,True,False,False,True,False,False,False,True,False,False,True,False
False,True,False,False,False,True,False,False,False,False,True,True,False
False,True,False,False,False,True,False,False,False,False,True,True,False
False,False,True,False,False,True,False,False,False,False,True,True,False
False,True,False,False,False,False,False,True,False,False,True,True,False
False,False,False,True,False,True,False,False,False,False,True,False,True
False,False,False,True,False,False,True,False,False,False,True,False,True
False,False,True,False,False,False,False,True,False,False,True,True,False
False,True,False,False,False,True,False,False,False,False,True,True,False
False,False,True,False,False,True,False,False,False,False,True,True,False
False,True,False,False,False,True,False,False,False,False,True,True,False
True,False,False,False,True,False,False,False,False,True,False,True,False
False,False,False,True,False,True,False,False,False,False,True,False,True
False,False,False,True,False,True,False,False,False,False,True,False,True
False,False,True,False,False,True,False,False,False,False,True,True,False
False,True,False,False,False,True,False,False,False,False,True,True,False
False,True,False,False,False,True,False,False,False,False,True,True,False
False,False,True,False,False,True,False,False,False,False,True,True,False
False,False,True,False,False,True,False,False,False,False,True,True,False
False,False,False,True,False,True,False,False,False,False,True,False,True
